,date,CPI,interest,oil_price,gold_price,exchange_rate(w/d),KOSPI200(open),sent
276,2021-02-15,101.33,0.74,1048,65810,"1,110.10",420.85,0.1301625775008524
277,2021-02-16,101.35,0.74,1065,65050,"1,103.10",427.8,0.28292794148883593
278,2021-02-17,101.37,0.74,1064,64600,"1,099.70",429.2,-0.07136198507215005
279,2021-02-18,101.39,0.74,1066,64100,"1,107.70",423.92,0.0757597678325525
280,2021-02-19,101.41,0.73,1063,63800,"1,105.70",417.98,0.2557178572304278
281,2021-02-22,101.46,0.73,1066,64000,"1,107.10",421.96,-0.038785272961601606
282,2021-02-23,101.48,0.73,1079,65360,"1,106.50",415.07,0.3390684252607012
283,2021-02-24,101.5,0.73,1072,65160,"1,110.80",415.78,0.1694710493155354
284,2021-02-25,101.52,0.73,1081,65000,"1,110.20",412.05,0.09873624354491825
285,2021-02-26,101.54,0.73,1078,64270,"1,108.40",421.19,0.11475275081730424
286,2021-03-02,101.6,0.73,1093,62500,"1,121.80",411.0,0.1835526751363226
287,2021-03-03,101.61,0.73,1094,63500,"1,121.30",414.45,0.21420276851639944
288,2021-03-04,101.61,0.73,1105,63280,"1,122.90",419.34,0.0911694717699518
289,2021-03-05,101.62,0.73,885,62900,"1,126.20",413.32,0.0631840322003662
290,2021-03-08,101.65,0.73,1094,62450,"1,129.40",412.86,0.3538160098813693
291,2021-03-09,101.66,0.73,1100,62400,"1,131.30",407.33,0.19647671127995162
292,2021-03-10,101.66,0.73,1096,63120,"1,141.10",406.37,0.08974678881709529
293,2021-03-11,101.67,0.73,1095,64000,"1,140.70",404.36,0.00489908641982978
294,2021-03-12,101.68,0.74,1095,63600,"1,137.30",413.67,0.17810574970890405
295,2021-03-15,101.71,0.75,1099,63200,"1,130.70",416.58,0.09476499318420148
296,2021-03-16,101.71,0.75,1123,63600,"1,135.90",414.82,0.049979043982702365
297,2021-03-17,101.72,0.75,1121,63470,"1,132.50",417.35,0.13993091567116828
298,2021-03-18,101.73,0.75,1124,63800,"1,131.80",414.97,0.08909982486875477
299,2021-03-19,101.74,0.75,1118,63570,"1,123.70",416.7,0.11829438027363953
300,2021-03-22,101.76,0.75,1124,63550,"1,131.80",412.92,0.23439917819234074
301,2021-03-23,101.77,0.76,1120,63350,"1,131.30",412.89,0.5218649881347189
302,2021-03-24,101.78,0.76,1125,63430,"1,128.00",407.32,0.575130687151509
303,2021-03-25,101.79,0.76,1124,63580,"1,133.50",407.03,0.16471032416568485
304,2021-03-26,101.8,0.76,1122,63550,"1,134.20",409.16,0.1999863804542897
305,2021-03-29,101.82,0.76,1123,63240,"1,131.80",413.9,0.19409002350791818
